name,artists,album,year,length,playlist
Mexican Radio,Wall Of Voodoo,Call Of The West,1982,04:09,07/20
El Fusilado,Chumbawamba,The Boy Bands Have Won,2008,02:32,07/20
Sunshine (Go Away Today),Jonathan Edwards,Jonathan Edwards,1971,02:19,07/20
The Blues Are Still Blue,Belle and Sebastian,The Life Pursuit,2006,04:09,07/20
Banana Man,Tally Hall,Marvin's Marvelous Mechanical Museum,2005,04:10,07/20
Spinnin' N Reelin',Creed Bratton,The 80's,2003,03:10,07/20
Life Less Ordinary,Carbon Leaf,Indian Summer,2004,03:35,07/20
Rope On Fire,Morphine,The Night,2000,05:37,07/20
Imaginary Song,Mark Sandman,Sandbox: The Original Music Of Mark Sandman,2000,02:54,07/20
Oranges,Lawrence,Homesick,2013,02:26,07/20
Glad Girls,Guided By Voices,Isolation Drills,2001,03:49,07/20
Judy Garland,Frog,Kind of Blah,2015,03:37,07/20
Lousy Connection,Ezra Furman,Lousy Connection,2015,03:49,07/20
Another Believer,Rufus Wainwright,Meet The Robinsons Original Soundtrack,2007,04:39,07/20
Será un día fenomenal (La canción de Phineas y Ferb),Indras,Phineas y Ferb (Castilian Spanish Version),2010,03:02,07/20
Storm Cloud Baby,the moss,Secretariat,2020,03:18,07/20
No Children,The Mountain Goats,Tallahassee,2002,02:48,07/20
The Hook,Stephen Malkmus,Stephen Malkmus,2001,03:03,07/20
Flagpole Sitta,Harvey Danger,Where Have All The Merrymakers Gone?,1997,03:37,07/20
Beach Song,Busman's Holiday,Beach Song / LaVaughna,2016,02:49,07/20
Covert Discretion,FREEMAN,FREEMAN,2014,04:55,07/20
Bang Pop,Free Energy,Stuck On Nothing,2010,03:41,07/20
Younger Now,Miley Cyrus,Younger Now,2017,04:09,07/20
Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come,2002,03:35,07/20
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,1969,07:29,07/20
I-76,G. Love & Special Sauce,"Yeah, it's That Easy",1997,03:46,07/20
This Was a Demo for This One Song but I Couldn't Find the More Up to Date Version So This Will Have to Do Sorry,Rav,B-Sides Vol.3 (2011-2015),2018,02:43,07/20
"Skeleton Appreciation Day in Vestal, NY (Bones)",Will Wood and the Tapeworms,Everything Is a Lot,2015,04:05,07/20
Walkin' On The Sun,Smash Mouth,Summer Playlist,2019,03:28,07/20
Can't Get Enough Of You Baby,Smash Mouth,Astro Lounge,1999,02:31,07/20
Despite What You've Been Told,Two Gallants,Two Gallants,2007,04:29,07/20
The Outdoor Type,The Lemonheads,Car Button Cloth,1996,02:36,07/20
The Mariner's Revenge Song,The Decemberists,Picaresque,2005,08:46,07/20
This Year,The Mountain Goats,The Sunset Tree,2005,03:53,07/20
Ocean Man,Ween,The Mollusk,1997,02:07,07/20
3030,the moss & tyke james,3030,2020,03:03,07/20
On Top Of The World,Imagine Dragons,Night Visions,2012,03:10,07/20
Hold It In,Jukebox The Ghost,Let Live & Let Ghosts,2008,03:29,07/20
Miley,SWMRS,Drive North,2016,04:14,07/20
Bang!,AJR,Bang!,2020,02:51,07/20
Restless Leg,Har Mar Superstar,Bye Bye 17,2013,03:37,07/20
Army,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,1999,03:23,07/20
Cocaine Trade,Christian Hansen & the Autistics,Power Leopard,2009,04:04,08/20
It Wasnt Me,Shaggy,Dancehall,2020,03:48,08/20
I Can See Clearly Now,Johnny Nash,Radio Hits Of the '70s,1972,02:43,08/20
Odds Are,Barenaked Ladies,Grinning Streak,2013,03:04,08/20
Celebrate,the moss,Bryology,2019,05:19,08/20
The Sound,Human Highway,Moody Motorcycle,2008,02:45,08/20
¡Aikido! (Neurotic / Erotic),Will Wood and the Tapeworms,Everything Is a Lot,2015,02:13,08/20
Cover This Song (A Little Bit Mine),Will Wood and the Tapeworms,Everything Is a Lot,2015,03:57,08/20
Movin' Right Along,Alkaline Trio,Muppets: The Green Album,2011,02:34,08/20
Quitter,Toadies,Rubberneck,1994,03:34,08/20
Kodachrome,Paul Simon,There Goes Rhymin' Simon,1973,03:35,08/20
Bird Tutorial,Sidney Gish,No Dogs Allowed,2017,01:14,08/20
27 Jennifers,Mike Doughty,Golden Delicious,2008,03:11,08/20
Kick Drum Heart,The Avett Brothers,I And Love And You,2009,02:54,08/20
16 Military Wives,The Decemberists,Picaresque,2005,04:53,08/20
The Apartment Song,Tom Petty,Full Moon Fever,1989,02:33,08/20
Waterslide,The Bonedaddys,waterslide,2007,03:53,08/20
Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,2019,03:12,08/20
Good Grief,Bastille,Wild World (Complete Edition),2016,03:26,08/20
"Sugar, Sugar",The Archies,The Very Best Of "The Archies",2007,02:47,08/20
Cult Boyfriend,Jeffrey Lewis,A Turn in the Dream-Songs,2011,02:37,08/20
Living in the Past - 2001 Remaster,Jethro Tull,Stand Up,1969,03:23,08/20
Signs,Five Man Electrical Band,Absolutely Right - The Best Of Five Man Electrical Band,2009,04:02,08/20
Nutted by Reality,Nick Lowe,Jesus of Cool (Deluxe Edition),2008,02:51,08/20
Wasted & Ready,Ben Kweller,Sha Sha,2002,03:51,08/20
What Do All the People Know? (Complete Song and Extra Lyrics - From Original Monroes of the 80's),The Monroes,What Do All the People Know?,2013,04:20,08/20
Be True To Your School,The Beach Boys,Little Deuce Coupe (Remastered),1963,02:09,08/20
Big Wheel,Samia,Big Wheel,2020,03:16,08/20
Life is a Highway,Rascal Flatts,Me And My Gang,2006,04:36,08/20
Let Her Dance,The Bobby Fuller Four,Never To Be Forgotten - The Mustang Years,1998,02:32,08/20
Gone for Good,The Shins,Chutes Too Narrow,2003,03:14,08/20
Nowhere With You,Joel Plaskett Emergency,Make A Little Noise EP,2006,03:02,08/20
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,Who Loves You,1975,03:17,08/20
Foxglove,Murder By Death,"Good Morning, Magpie",2010,03:06,08/20
Shit & Fuck,Wesley Willis,Rush Hour,2000,03:42,08/20
Missed the Boat,Modest Mouse,We Were Dead Before The Ship Even Sank,2007,04:25,08/20
Cannibal Queen,Miniature Tigers,Tell It To The Volcano,2008,02:42,08/20
Bang the Drum All Day,Todd Rundgren,The Ever Popular Tortured Artist Effect,1982,03:35,08/20
In a Big Country,moe.,Dither,2001,03:36,08/20
Listen to the Music,The Doobie Brothers,Toulouse Street,1972,03:47,08/20
All Of This,Shaimus,Paper Sun,2006,02:35,08/20
Oh My My,Blue October,Oh My My,2020,03:11,08/20
Upside Down,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,2006,03:29,08/20
Why Don't You Get A Job,The Offspring,Americana,1998,02:52,08/20
American Music,Violent Femmes,Why Do Birds Sing?,1991,03:50,08/20
Money Won't Pay,bo en & Augustus,Pale Machine Expansion Pack Singles,2014,03:58,08/20
Smoke Alarm,Carsie Blanton,Idiot Heart,2012,02:16,08/20
Wait A Million Years,The Grass Roots,Leaving It All Behind,1969,03:19,08/20
Avalon,Foxygen,Hang,2017,03:46,08/20
Your Redneck Past,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,1999,03:43,08/20
25 or 6 to 4 - 2002 Remaster,Chicago,Chicago II,1970,04:50,08/20
One Last Drink,Enter The Haggis,Soapbox Heroes,2006,03:28,08/20
Instead of My Room,Charlie Burg,Live in Peter's Attic,2016,03:18,08/20
Salt Lake City (Girl),the moss,Bryology,2019,02:43,08/20
Ooh La La,Faces,Ooh La La,1973,03:34,09/20
The Night,Morphine,The Night,2000,04:49,09/20
Two Broken Hearts,Rivers Cuomo,Two Broken Hearts,2018,03:04,09/20
Spirits,The Strumbellas,Hope,2016,03:24,09/20
Piss up a Rope,Ween,12 Golden Country Greats,1996,03:34,09/20
Pork And Beans,Weezer,Weezer (Red Album),2008,03:09,09/20
Dog Problems,The Format,Dog Problems (Bonus Track Version),2006,04:11,09/20
I'm in a Hurry (And Don't Know Why),Alabama,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,1980,02:49,09/20
I Don't Love You Anymore,Bomb the Music Industry!,Get Warmer,2007,04:42,09/20
Nausea,Jeff Rosenstock,We Cool?,2015,02:44,09/20
Fresh,DEVO,Something for Everybody (Deluxe),2010,03:00,09/20
House of 1982 Built Like a Ship,Driftless Pony Club,Buckminster,2011,03:56,09/20
Still Late,Satellite High,The Muscular Sorrow of Sadbrain Beardman,2014,03:30,09/20
That Time Is Gone,The dB's,Falling off the Sky,2012,03:32,09/20
Here It Goes Again,OK Go,Oh No,2005,03:00,09/20
Such Great Heights,Streetlight Manifesto,99 Songs of Revolution Vol. 1,2010,03:30,09/20
The Stand,Mother Mother,Eureka,2011,02:57,09/20
Chorus Complains,Driftless Pony Club,Zastera,2016,06:01,09/20
Au Revoir (Adios),The Front Bottoms,Talon Of The Hawk,2013,01:48,09/20
Hall of Fame (feat. will.i.am),The Script & will.i.am,#3,2012,03:23,09/20
Seventeen,Peach Pit,Sweet FA,2018,03:36,09/20
Whole Wide World - Alternative,Wreckless Eric,Whole Wide World,2013,03:00,09/20
Sons & Daughters,The Decemberists,The Crane Wife,2006,05:14,09/20
No Rain,Blind Melon,Blind Melon,1992,03:37,09/20
But Anyway,Blues Traveler,Blues Traveler,1990,04:10,09/20
Shattered (Turn The Car Around),O.A.R.,All Sides (Deluxe Edition),2008,04:15,09/20
Come A Little Bit Closer,Jay & The Americans,Come A Little Bit Closer,1964,02:49,09/20
Waiting,CAKE,Pressure Chief,2004,03:56,09/20
Sueña,Gerardo,180°,2006,04:19,09/20
Forecast Fascist Future,of Montreal,The Sunlandic Twins,2005,04:23,09/20
Calypso,Billy,Music For The Two-Cycle Engine,2003,04:45,09/20
Tune Out,The Format,Interventions and Lullabies,2003,03:31,09/20
The Ballad of Harambe,c a n d i d !,Bananas for Breakfast,2017,03:12,09/20
Dracula From Houston,Butthole Surfers,Weird Revolution,2001,03:43,09/20
Tungs,The Frights,You Are Going to Hate This,2016,02:50,09/20
My Old School,Steely Dan,Countdown To Ecstasy,1973,05:45,09/20
Could Have Been Me,The Struts,Everybody Wants,2016,03:08,09/20
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",2018,02:58,09/20
What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,2020,03:01,09/20
Magic In The Hamptons (feat. Lil Yachty),Social House & Lil Yachty,Magic In The Hamptons (feat. Lil Yachty),2018,02:45,09/20
Fifteen Minutes,Mike Krol,I Hate Jazz,2011,01:35,09/20
Let My Love Open The Door - E. Cola Mix,Pete Townshend,Take Me Home Tonight,2011,04:49,09/20
Care Of Cell 44,The Zombies,Odessey & Oracle_ 30th Anniversary Edition,1968,03:57,09/20
Love And Mercy,Brian Wilson,I Just Wasn't Made For These Times,1995,03:14,09/20
You Are Going to Hate This,The Frights,You Are Going to Hate This,2016,03:07,09/20
Hollywood,Jukebox The Ghost,Jukebox The Ghost,2015,03:26,09/20
18,Anarbor,Burnout (Deluxe Version),2013,02:37,09/20
Dance And Cry,Mother Mother,Dance And Cry,2018,03:17,09/20
Basket Case,Green Day,Dookie,1994,03:02,09/20
Guesthouse,David Wax Museum,Guesthouse,2015,04:10,09/20
Better Days (And the Bottom Drops Out),Citizen King,Mobile Estates,1999,03:27,09/20
Brimful of Asha,Cornershop,When I Was Born For The 7th Time (Expanded),1997,05:17,09/20
All Your Favorite Bands,Dawes,All Your Favorite Bands,2015,03:35,09/20
1980s Horror Film II,Wallows,1980s Horror Film II,2018,03:55,09/20
You Don't Know Me (feat. Regina Spektor),Ben Folds & Regina Spektor,Way To Normal,2008,03:10,09/20
Trashcan,Delta Spirit,Ode To Sunshine,2007,03:36,09/20
Cayucos,Oregon Bike Trails,HairBrained (Original Motion Picture Soundtrack),2014,03:28,09/20
Local Girls - Digitally Remastered 1996,Graham Parker,Squeezing Out Sparks + Live Sparks,1996,03:44,09/20
Scar That Never Heals,Jeremy Fisher,Goodbye Blue Monday,2007,03:39,09/20
You Know It,Colony House,Only The Lonely,2017,03:02,09/20
My Type,Saint Motel,My Type EP,2014,03:25,09/20
Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,Manu Pilas,Bella Ciao (Música Original de la Serie la Casa de Papel/ Money Heist),2018,02:20,09/20
Withstand,The Murlocs,Manic Candid Episode,2019,03:14,09/20
No One Lives Forever,Oingo Boingo,Dead Man's Party,1985,04:15,10/20
When You Were Made,The Growlers,City Club,2016,03:38,10/20
With A Little Help From My Friends,Wallows,With A Little Help From My Friends,2020,02:50,10/20
The Lotto,Ingrid Michaelson & AJR,The Lotto,2016,03:14,10/20
Heroes And Villains - Remastered 2001,The Beach Boys,Smiley Smile (Remastered),1967,03:39,10/20
Twist and Shout,The Rivieras,California Sun - the Best of the Rivieras,1963,02:11,10/20
I Love a Rainy Night,Eddie Rabbitt,All Time Greatest Hits,1991,03:11,10/20
Lorna Zauberberg,Mike Doughty,Sad Man Happy Man,2009,03:02,10/20
Silhouettes,Colony House,When I Was Younger,2014,02:58,10/20
"Big Thighs, Nj",Low Cut Connie,Get out the Lotion,2011,03:13,10/20
Like Humans Do - Live,David Byrne,"Live From Austin, TX",2007,04:16,10/20
Energy,The Apples In Stereo,New Magnetic Wonder,2007,03:31,10/20
This Will Be Our Year,The Zombies,Odessey and Oracle,1968,02:08,10/20
The Start Of Something,Voxtrot,Raised By Wolves EP,2005,04:32,10/20
A Good Song Never Dies,Saint Motel,The Original Motion Picture Soundtrack: Pt. 2,2020,03:21,10/20
Zombie,Langhorne Slim,Lost At Last Vol. 1,2017,03:02,10/20
Getting Ready to Get Down,Josh Ritter,Sermon on the Rocks,2015,03:16,10/20
Year of the Dog,Mike Doughty,Sad Man Happy Man,2009,02:30,10/20
Bob Marley,Grizfolk,Waking Up The Giants,2015,03:36,10/20
Who’s Gonna Stop Me (feat. "Weird Al" Yankovic),Portugal. The Man & "Weird Al" Yankovic,Who’s Gonna Stop Me (feat. "Weird Al" Yankovic),2020,03:53,10/20
The Underdog,Spoon,Ga Ga Ga Ga Ga (2017 Remaster),2007,03:42,10/20
Hey Julie,Fountains Of Wayne,Welcome Interstate Managers,2003,02:37,10/20
Chevrolet Van,The Nude Party,The Nude Party,2018,04:18,10/20
Alaska,Little Hurt,Alaska,2020,03:09,10/20
didya think,Arlie,Wait,2018,03:20,10/20
Fred Astaire,Jukebox The Ghost,Fred Astaire,2018,03:39,10/20
Baltimore,Mal Blum,Every Time You Go Somewhere,2010,04:39,10/20
The Three of Us,Streetlight Manifesto,The Hands That Thieve,2013,05:18,10/20
Backyard Boy,Claire Rosinkranz,BeVerly Hills BoYfRiEnd,2020,02:09,10/20
'Til I Die - Remastered 2009,The Beach Boys,Surf's Up,1971,02:33,10/20
Eve Of Destruction,Barry McGuire,Eve Of Destruction,1965,03:36,10/20
Weight of the World,Jeff Pianki,Remember It Now,2020,02:08,10/20
King Of Pain,The Police,Synchronicity (Remastered 2003),1983,04:59,10/20
Mister Peepers,Ben Folds,Mister Peepers,2018,04:29,10/20
True Blue,Bright Eyes,Lua,2004,03:30,10/20
El Fin del Mundo,La La Love You & Axolotes Mexicanos,El Fin del Mundo,2019,03:08,10/20
(I Want to) Burn You (Down),Mike Doughty,Sad Man Happy Man,2009,02:01,10/20
Buttercup,Jack Stauber,Pop Food,2017,03:28,10/20
I Don't Belong,"Look Mom, I'm on TV!",Stuck in Big Rapids,2017,02:28,10/20
Acolyte,"Slaughter Beach, Dog",Birdie,2017,05:16,10/20
Beer,Reel Big Fish,Turn The Radio Off,1996,03:31,10/20
In the Best Case Scenario We'd Die at the Same Time,My Name Is Ian,In the Best Case Scenario We'd Die at the Same Time,2015,03:58,10/20
Everybody's Lonely,Jukebox The Ghost,Off To The Races,2018,03:06,10/20
Casa De Mel,Brad Goodall,Casa De Mel,2017,04:21,10/20
I Slept With All Your Mothers,Harriet,Tell the Right Story,2012,02:25,10/20
When He Sees Me,Sara Bareilles,What's Inside: Songs from Waitress,2015,03:51,10/20
Animal Spirits,Vulfpeck,The Beautiful Game,2016,03:11,10/20
Like or Like Like,Miniature Tigers,Tell It to the Volcano,2009,02:39,10/20
Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan,1963,02:45,10/20
Born Again,Mark Sandman,Sandbox: The Original Music Of Mark Sandman,2000,03:10,10/20
Lets Not Talk,Mark Sandman,Sandbox: The Original Music Of Mark Sandman,2000,02:42,10/20
Ticket To Ride - Remastered 2009,The Beatles,Help! (Remastered),1965,03:10,10/20
I Must Not Think Bad Thoughts,X,More Fun in the New World,1983,04:15,10/20
HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe Edition),2017,03:13,10/20
Jackie and Wilson,Hozier,Hozier (Expanded Edition),2014,03:43,10/20
Missing You,All Time Low,Future Hearts,2015,04:05,10/20
Riders on the Storm,The Doors,L.A. Woman,1971,07:15,10/20
La Gracia Del Payaso (En Vivo),Grupo Imperial,En Vivo 2017,2017,02:36,10/20
Running,Small Crush,Running,2020,03:16,10/20
Dissect the Bird (Live),John Craigie,Opening for Steinbeck (Live),2018,05:18,10/20
Air Mattress,Conor Oberst,Outer South,2009,02:14,10/20
Better in the Morning,Birdtalker,Better in the Morning,2019,02:44,10/20
Earthquakes and Sharks,Brandtson,"Hello, Control.",2006,02:57,10/20
Get Fucked,Mustard Service,Zest Pop,2017,02:58,10/20
