name,artists,album,year,length,playlist
Changes - 2015 Remaster,David Bowie,Hunky Dory (2015 Remaster),1971,03:38,02/21
Chasin' Honey,Wild Party,Phantom Pop,2014,03:10,02/21
Waving My Dick in the Wind,Ween,The Mollusk,1997,02:12,02/21
Don't Say Much,itsjustrand,Don't Say Much,2018,03:09,02/21
drivers license,Olivia Rodrigo,drivers license,2021,04:02,02/21
Girl from the Sidewalk,Noah Floersch,Girl from the Sidewalk,2018,06:44,02/21
"2econd-2ight-2eer (that was fun, goodbye.)",Will Wood,The Normal Album,2020,03:26,02/21
An Old Fashioned Love Song,Paul Williams,Just An Old Fashioned Love Song,1971,03:11,02/21
Highlights,The Classic Crime,Patterns in the Static,2020,03:57,02/21
In Spite of Me,Morphine,Cure for Pain,1993,02:35,02/21
Mamma Mia - Spanish Version,ABBA,Gracias Por La Musica (Deluxe Edition),1980,03:33,02/21
Don't Wait for Him,Side Saddle,The Astorian,2014,03:10,02/21
Happy Life,Roland Faunte,Sewing Kit,2018,04:30,02/21
Circles,Post Malone,Hollywood's Bleeding,2019,03:35,02/21
I Gotchoo,Bowling For Soup,Sorry For Partyin',2009,03:44,02/21
I Don't Wish You Were Dead Anymore,Bowling For Soup,Sorry For Partyin',2009,02:46,02/21
No Shame,5 Seconds of Summer,CALM,2020,03:13,02/21
Kiss Goodnight,I DONT KNOW HOW BUT THEY FOUND ME,RAZZMATAZZ,2020,03:50,02/21
Sober,blink-182,California,2016,03:00,02/21
Cemetery,COIN,Dreamland,2020,02:57,02/21
Drunken Sailor,The Longest Johns,Written in Salt,2016,02:25,02/21
All You Can (Ch)eat Buffet,"Big, If True",Top Text,2019,04:07,02/21
Turning Out Pt. ii,AJR,Neotheater,2019,03:43,02/21
Act Naturally - Remastered 2009,The Beatles,Help! (Remastered),1965,02:30,02/21
Real (with Mac DeMarco),Juan Wauters & Mac DeMarco,Real (with Mac DeMarco),2021,04:18,02/21
Not Your Lover,Morningsiders,Pollen,2019,03:19,03/21
Turning Japanese - Non Stop Edit,The Vapors,New Clear Days,1980,03:44,03/21
Mr Bitterness,Soul Coughing,Ruby Vroom,1994,05:33,03/21
Camarillo Brillo,Frank Zappa & The Mothers,Over-Nite Sensation,1973,04:00,03/21
Girlfriend Is Better,Talking Heads,Speaking in Tongues,1983,05:45,03/21
Moving,The Happy Fits,What Could Be Better,2020,02:25,03/21
Take the Skinheads Bowling,Camper Van Beethoven,Telephone Free Landslide Victory,1985,02:32,03/21
Paris 1919,John Cale,Paris 1919,1973,04:07,03/21
Killer Queen - Remastered 2011,Queen,Sheer Heart Attack (2011 Remaster),1974,03:00,03/21
Semaphore Signals,Wreckless Eric,Wreckless Eric,1978,02:57,03/21
Swamp,Talking Heads,Speaking in Tongues,1983,05:14,03/21
This Must Be the Place (Naive Melody),Talking Heads,Speaking in Tongues,1983,04:55,03/21
Do It Again - Remastered 2001,The Beach Boys,20/20 (Remastered),1969,02:26,03/21
Ohio (Come Back To Texas),Bowling For Soup,A Hangover You Don't Deserve,2004,03:51,03/21
Crazy = Genius,Panic! At The Disco,Death of a Bachelor,2016,03:18,03/21
Teenagers,My Chemical Romance,The Black Parade,2006,02:42,03/21
2012 (Remastered),Will Wood and the Tapeworms,Self-Ish (Remastered),2020,04:04,03/21
Minnesota Girls,The Shackletons,Second Attempt,2017,04:32,03/21
Tubthumping,Chumbawamba,Tubthumper,1997,04:39,03/21
Laura no està,Nek,Lo mejor de Nek: El ano cero,2004,03:45,03/21
Replay,Iyaz,Replay,2009,03:02,03/21
Touch-Tone Telephone,Lemon Demon,Spirit Phone,2016,04:43,03/21
Something For Your M.I.N.D.,Superorganism,Superorganism,2018,02:45,03/21
Michael & His Slipper Tree '93 - Original Version,The Equals,Michael & His Slipper Tree '93,2005,03:05,03/21
I'm Waiting For The Day,The Beach Boys,Pet Sounds (Mono),1966,03:05,03/21
More Bacon Than The Pan Can Handle,Mike Doughty,Golden Delicious,2008,01:39,03/21
Redesign Your Logo (Bonus Track),Lemon Demon,Spirit Phone,2016,04:21,03/21
Steal My Girl,One Direction,FOUR (Deluxe),2014,03:48,03/21
Amnesia,Chumbawamba,Tubthumper,1997,04:08,03/21
Hate Yourself,TV Girl,French Exit,2014,03:34,03/21
Paradisin',Rina Sawayama,SAWAYAMA,2020,03:06,03/21
The Good Ship Lifestyle,Chumbawamba,Tubthumper,1997,05:13,03/21
Thumbnail,Louie Zong & Brian David Gilbert,Thumbnail,2018,03:05,03/21
Wobbly,Ezra Furman,Perpetual Motion People,2015,03:00,03/21
You Speak My Language,Morphine,Good,1992,03:26,03/21
Tune In,Spendtime Palace,Room With a View,2020,03:49,03/21
We're Good,Dua Lipa,We're Good,2021,02:46,03/21
Freaking Out the Neighborhood,Mac DeMarco,2,2012,02:54,03/21
Sell Out,Reel Big Fish,Turn The Radio Off,1996,03:47,03/21
Fire Water Burn,Bloodhound Gang,One Fierce Beer Coaster,1996,04:52,03/21
Sofia...,Leland Blue,Sofia...,2017,05:12,03/21
Honey Lungs,Said The Whale,Honey Lungs,2021,03:00,03/21
The One That Got Away,Katy Perry,Teenage Dream,2010,03:47,03/21
Raspberry Beret,Prince,Around The World In A Day,1985,03:35,03/21
broken,lovelytheband,finding it hard to smile,2018,03:25,03/21
Island In The Sun,Weezer,Weezer (Green Album),2001,03:20,03/21
California,O.A.R.,The Mighty,2019,03:52,03/21
(Nothing But) Flowers - 2005 Remaster,Talking Heads,Naked,1988,05:32,03/21
Take a Sip,Skrizzly Adams,Take a Sip,2018,03:22,03/21
The Communists Have the Music,They Might Be Giants,The Communists Have the Music,2018,02:28,03/21
Boys Like You,dodie,Boys Like You,2019,03:01,03/21
The Goodbye Look,Donald Fagen,The Nightfly,1982,04:50,03/21
Plateau,Meat Puppets,II,1984,02:22,03/21
Sunflower,Rex Orange County,Sunflower,2017,04:12,03/21
Marlboro Nights,Lonely God,Marlboro Nights,2018,01:09,03/21
Christmas in June,AJR,OK ORCHESTRA,2021,04:39,03/21
3 O'Clock Things,AJR,OK ORCHESTRA,2021,03:48,03/21
World's Smallest Violin,AJR,OK ORCHESTRA,2021,03:01,03/21
"Yeh, Yeh",Georgie Fame & The Blue Flames,20 Beat Classics,1980,02:45,03/21
Joe,AJR,OK ORCHESTRA,2021,03:32,03/21
Adventure Is Out There,AJR,OK ORCHESTRA,2021,03:31,03/21
Move,Saint Motel,saintmotelevision,2016,03:08,04/21
Tongue Tied,Grouplove,Never Trust a Happy Song,2011,03:38,04/21
Goldmine,The Jokes,Goldmine,2018,03:10,04/21
Local Long Distance Relationship (LA2NY),Saint Motel,saintmotelevision,2016,03:21,04/21
As the Romans Do,Theo Katzman,Heartbreak Hits,2017,04:21,04/21
I'd Like To Know,Stu Stone,Return of the Stone Movement,2011,04:07,04/21
The Promise,When In Rome,When In Rome,1988,03:41,04/21
Come Out and Play,The Offspring,Smash,1994,03:18,04/21
404,One South Lark,404,2018,03:14,04/21
Two Against Nature,Steely Dan,Two Against Nature,2000,06:18,04/21
Volcano,The Presidents Of The United States Of America,II,1996,02:58,04/21
Mach 5,The Presidents Of The United States Of America,II,1996,03:16,04/21
Deacon Blues,Steely Dan,Aja,1977,07:37,04/21
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),2021,04:38,04/21
9/10,Jeff Rosenstock,POST-,2018,03:30,04/21
Doped Up Dollies On A One Way Ticket To Blood,Big D and the Kids Table,Fluent In Stroll,2009,04:14,04/21
There's Always Someone Cooler Than You,Ben Folds,"supersunnyspeedgraphic, the lp",2006,04:12,04/21
Insomniac,Hypnosonics,Drums Were Beating: Fort Apache Studios 1996,2021,05:11,04/21
Livin' With You,Hypnosonics,Someone Stole My Shoes: Beyond The Q Division Sessions,2021,04:00,04/21
Born Again,Hypnosonics,Drums Were Beating: Fort Apache Studios 1996,2021,04:21,04/21
Insomniac,Hypnosonics,Someone Stole My Shoes: Beyond The Q Division Sessions,2021,02:40,04/21
Never Enough,Rex Orange County,Apricot Princess,2017,04:59,04/21
